"writerName","birthPlaceLabel","nationality","country","deathPlaceLabel"
"J. H. M. Abbott","New South Wales","Australian","Australia","Rydalmere"
"Jan-Magnus Bruheim","Skjåk","Norwegian","Norway","Skjåk"
"Hiroyuki Kanno (game designer)","Tokyo","http://dbpedia.org/resource/Japanese_people","Japan","Bunkyō"
"Hiroyuki Kanno (game designer)","Tokyo","http://dbpedia.org/resource/Japanese_people","Japan","Tokyo"
"Jean-Marc Chaput","Quebec","http://dbpedia.org/resource/Canadians","Canada","Quebec"
"Jean-Marc Chaput","Quebec","http://dbpedia.org/resource/Canadians","Canada","Montreal"
"Jean-Marc Chaput","Montreal","http://dbpedia.org/resource/Canadians","Canada","Quebec"
"Jean-Marc Chaput","Montreal","http://dbpedia.org/resource/Canadians","Canada","Montreal"
"Tarapada Roy","Bengal Presidency","Indian","India","Kolkata"
"Tarapada Roy","Bengal Presidency","Indian","India","West Bengal"
"Tarapada Roy","Bengal Presidency","Indian","India","India"
"Jatindra Nath Duwara","Sivasagar district","Indian","India","Sivasagar"
"Tarapada Roy","Bangladesh","Indian","India","West Bengal"
"Tarapada Roy","Bangladesh","Indian","India","India"
"Tarapada Roy","Bangladesh","Indian","India","Kolkata"
"Tarapada Roy","British India","Indian","India","India"
"Tarapada Roy","British India","Indian","India","West Bengal"
"Tarapada Roy","British India","Indian","India","Kolkata"
"Tarapada Roy","Tangail","Indian","India","West Bengal"
"Tarapada Roy","Tangail","Indian","India","Kolkata"
"Tarapada Roy","Tangail","Indian","India","India"
"Jatindra Nath Duwara","Assam","Indian","India","Sivasagar"
"Arthur Bowie Chrisman","Clarke County, Virginia","http://dbpedia.org/resource/American_people","United States","Shirley, Arkansas"
"Charles G. Booth","England","British","England","California"
"Charles G. Booth","England","British","England","Beverly Hills"
"Charles G. Booth","Manchester","British","England","California"
"Charles G. Booth","Manchester","British","England","Beverly Hills"
"August Daniel von Binzer","Duchy of Holstein","German","Germany","Silesia"
"August Daniel von Binzer","Duchy of Holstein","German","Germany","Prussia"
"August Daniel von Binzer","Duchy of Holstein","German","Germany","Nysa, Poland"
"August Daniel von Binzer","Kiel","German","Germany","Silesia"
"August Daniel von Binzer","Kiel","German","Germany","Prussia"
"August Daniel von Binzer","Kiel","German","Germany","Nysa, Poland"
"Arthur Klæbo","Ålesund","Norwegian","Norway","Oslo"
"Arild Nyquist","Oslo","Norwegian","Norway","Asker"
"Arthur Omre","Horten","Norwegian","Norway","Porsgrunn"
"Jo-Ann Episkenew","Winnipeg","http://dbpedia.org/resource/Canadians","Canada","Regina, Saskatchewan"
"Jo-Ann Episkenew","Manitoba","http://dbpedia.org/resource/Canadians","Canada","Regina, Saskatchewan"
"Jirō Nitta","Nagano Prefecture","Japanese","Japan","Musashino, Tokyo"
"Jirō Nitta","Nagano Prefecture","Japanese","Japan","Tokyo"
"John Berwick Harwood","St Mary Cray","British","England","Chertsey"
"Johan Henrik Wiers-Jenssen","Oslo","Norwegian","Norway","New York City"
"Chin Shunshin","Japan","http://dbpedia.org/resource/Taiwan","Japan","Kobe"
"Chin Shunshin","Japan","http://dbpedia.org/resource/Japan","Japan","Japan"
"Chin Shunshin","Japan","http://dbpedia.org/resource/Taiwan","Japan","Japan"
"Chin Shunshin","Japan","http://dbpedia.org/resource/Japan","Japan","Kobe"
"Jirō Nitta","Suwa, Nagano","Japanese","Japan","Tokyo"
"Jirō Nitta","Suwa, Nagano","Japanese","Japan","Musashino, Tokyo"
"Chin Shunshin","Kobe","http://dbpedia.org/resource/Japan","Japan","Kobe"
"Chin Shunshin","Kobe","http://dbpedia.org/resource/Taiwan","Japan","Japan"
"Chin Shunshin","Kobe","http://dbpedia.org/resource/Taiwan","Japan","Kobe"
"Chin Shunshin","Kobe","http://dbpedia.org/resource/Japan","Japan","Japan"
"John Berwick Harwood","The London Borough of Bromley","British","England","Chertsey"
"John Menzies Macfarlane","Scotland","http://dbpedia.org/resource/Scotland","United Kingdom","Utah Territory"
"John Menzies Macfarlane","Scotland","http://dbpedia.org/resource/Scotland","Scotland","Utah Territory"
"John Menzies Macfarlane","Scotland","http://dbpedia.org/resource/Scotland","Scotland","United States"
"John Menzies Macfarlane","Scotland","http://dbpedia.org/resource/Scotland","United Kingdom","United States"
"John Drinkwater (playwright)","Leytonstone","British","England","London"
"John Menzies Macfarlane","Stirling","http://dbpedia.org/resource/Scotland","Scotland","Utah Territory"
"John Menzies Macfarlane","Stirling","http://dbpedia.org/resource/Scotland","United Kingdom","Utah Territory"
"John Menzies Macfarlane","Stirling","http://dbpedia.org/resource/Scotland","United Kingdom","United States"
"John Menzies Macfarlane","Stirling","http://dbpedia.org/resource/Scotland","Scotland","United States"
"Kasimir Edschmid","Darmstadt","German","Germany","Scuol"
"Jūgatsu Toi","Shinjuku","http://dbpedia.org/resource/Japanese_people","Japan","Japan"
"Jūgatsu Toi","Tokyo","http://dbpedia.org/resource/Japanese_people","Japan","Japan"
"Jun Sadogawa","Tone, Ibaraki","Japanese","Japan","Tone, Ibaraki"
"Karsten Isachsen","Oslo","Norwegian","Norway","Ål"
"Jūgatsu Toi","Japan","http://dbpedia.org/resource/Japanese_people","Japan","Japan"
"Junzo Shono","Osaka","Japanese","Japan","Kawasaki, Kanagawa"
"T. Inglis Moore","Camden, New South Wales","Australian","Australia","Canberra"
"Ken Shadie","Bondi, New South Wales","Australian","Australia","Sydney"
"Suzanne Lamy","Lombez","http://dbpedia.org/resource/Canadians","Canada","Montreal"
"Suzanne Lamy","Lombez","http://dbpedia.org/resource/Canadians","Canada","Canada"
"Suzanne Lamy","Lombez","http://dbpedia.org/resource/Canadians","Canada","Quebec"
"Suzanne Lamy","France","http://dbpedia.org/resource/Canadians","Canada","Canada"
"Suzanne Lamy","France","http://dbpedia.org/resource/Canadians","Canada","Montreal"
"Suzanne Lamy","France","http://dbpedia.org/resource/Canadians","Canada","Quebec"
"Kenta Nishimura","Edogawa, Tokyo","http://dbpedia.org/resource/Japanese_people","Japan","Kita, Tokyo"
"Lakshmi Kumari Chundawat","Mewar","Indian","India","Rajasthan"
"Lakshmi Kumari Chundawat","Mewar","Indian","India","Jaipur"
"Lakshmi Kumari Chundawat","Deogarh, Rajasthan","Indian","India","Rajasthan"
"Lakshmi Kumari Chundawat","Deogarh, Rajasthan","Indian","India","Jaipur"
"Syed Sajjad Haider Yaldram","British India","Indian","India","British India"
"Syed Sajjad Haider Yaldram","British India","Indian","India","United Provinces (1937–1950)"
"Syed Sajjad Haider Yaldram","British India","Indian","India","Lucknow"
"Suryamal Misran","Bundi State","http://dbpedia.org/resource/Bundi_State","India","Bundi"
"Syed Sajjad Haider Yaldram","Nehtaur","Indian","India","British India"
"Syed Sajjad Haider Yaldram","Nehtaur","Indian","India","Lucknow"
"Syed Sajjad Haider Yaldram","Nehtaur","Indian","India","United Provinces (1937–1950)"
"Lakshmi Kumari Chundawat","Rajasthan","Indian","India","Rajasthan"
"Lakshmi Kumari Chundawat","Rajasthan","Indian","India","Jaipur"
"Syed Sajjad Haider Yaldram","North-Western Provinces","Indian","India","British India"
"Syed Sajjad Haider Yaldram","North-Western Provinces","Indian","India","United Provinces (1937–1950)"
"Syed Sajjad Haider Yaldram","North-Western Provinces","Indian","India","Lucknow"
"Jean Paul Richter","Dresden","http://dbpedia.org/resource/Germany","Germany","Lugano"
"Herz Bergner","Austria-Hungary","Polish/Australian","Australia","Melbourne"
"Herz Bergner","Radymno","Polish/Australian","Australia","Melbourne"
"Jean Loret","Carentan","French","France","Paris"
"Tomaso Porcacchi Castilione","Castiglion Fiorentino","http://dbpedia.org/resource/Tuscany","Italy","Udine"
"Tomaso Porcacchi Castilione","Val di Chiana","http://dbpedia.org/resource/Tuscany","Italy","Udine"
"Marguerite Lescop","Quebec","http://dbpedia.org/resource/Canadian_people","Canada","Montreal"
"Marguerite Lescop","Quebec","http://dbpedia.org/resource/Canadian_people","Canada","Quebec"
"Margaret Moyes Black","Scoonie","Scottish","United Kingdom","Montrose, Angus"
"Margaret Moyes Black","Scoonie","Scottish","Scotland","Montrose, Angus"
"Marguerite Lescop","Longueuil","http://dbpedia.org/resource/Canadian_people","Canada","Montreal"
"Marguerite Lescop","Longueuil","http://dbpedia.org/resource/Canadian_people","Canada","Quebec"
"Margaret Moyes Black","Fife","Scottish","Scotland","Montrose, Angus"
"Margaret Moyes Black","Fife","Scottish","United Kingdom","Montrose, Angus"
"Doris Hedges","Lachine, Quebec","Canadian","Canada","Montreal"
"Philippe Vigand","Boulogne-Billancourt","http://dbpedia.org/resource/French_people","France","France"
"Philippe Vigand","Boulogne-Billancourt","http://dbpedia.org/resource/French_people","France","Levallois-Perret"
"Pierre Béarn","Bucharest","http://dbpedia.org/resource/France","France","Paris"
"Philippe Vigand","France","http://dbpedia.org/resource/French_people","France","Levallois-Perret"
"Philippe Vigand","France","http://dbpedia.org/resource/French_people","France","France"
"Phyllis Arkle","Chester","British","England","Berkshire"
"Pierre Béarn","Kingdom of Romania","http://dbpedia.org/resource/France","France","Paris"
"Somasundara Bharathiar","Thoothukudi district","Indian","India","Madurai"
"Mariano Valguarnera","Palermo","http://dbpedia.org/resource/Italy","Italy","Palermo"
"Mariano Valguarnera","Palermo","http://dbpedia.org/resource/Italy","Italy","Kingdom of Sicily"
"Mario Rigoni Stern","Asiago","http://dbpedia.org/resource/Italians","Italy","Asiago"
"Mariano Valguarnera","Kingdom of Sicily","http://dbpedia.org/resource/Italy","Italy","Kingdom of Sicily"
"Mariano Valguarnera","Kingdom of Sicily","http://dbpedia.org/resource/Italy","Italy","Palermo"
"Sophie Hoechstetter","Pappenheim","http://dbpedia.org/resource/Germany","Germany","Dachau, Bavaria"
"Ingvar Moe","Etne","Norwegian","Norway","Trondheim"
"Kyotaro Nishimura","Empire of Japan","Japanese","Japan","Empire of Japan"
"Kyotaro Nishimura","Empire of Japan","Japanese","Japan","Yugawara"
"Kyotaro Nishimura","Empire of Japan","Japanese","Japan","Kanagawa"
"Kyotaro Nishimura","Tokyo","Japanese","Japan","Empire of Japan"
"Kyotaro Nishimura","Tokyo","Japanese","Japan","Yugawara"
"Kyotaro Nishimura","Tokyo","Japanese","Japan","Kanagawa"
"Una Chi","Milan","Italian","Italy","Cisternino"
"Michael J. Bird","London","English","England","Great Shelford"
"Michael J. Bird","London","English","England","Cambridgeshire"
"Oliver Hogue","Darlington, New South Wales","Australian","Australia","London"
"Natyachhatakar Diwakar","Pune","Indian","India","Pune"
"Natyachhatakar Diwakar","Bombay Presidency","Indian","India","Pune"
"Rachna Gilmore","India","http://dbpedia.org/resource/Canadian","Canada","Canada"
"Rachna Gilmore","India","http://dbpedia.org/resource/Canadian","Canada","Ottawa"
"Rajanikanta Bordoloi","Guwahati","Indian","India","Guwahati"
"Rajanikanta Bordoloi","Guwahati","Indian","India","Assam"
"Rajanikanta Bordoloi","Assam","Indian","India","Guwahati"
"Rajanikanta Bordoloi","Assam","Indian","India","Assam"
"R. S. Mugali","Karnataka","Indian 15px","India","Bengaluru"
"R. S. Mugali","Karnataka","Indian 15px","India","Karnataka"
"R. S. Mugali","Gadag","Indian 15px","India","Bengaluru"
"R. S. Mugali","Gadag","Indian 15px","India","Karnataka"
"Ranjit Desai","Maharashtra","Indian","India","Mumbai"
"Ranjit Desai","Maharashtra","Indian","India","India"
"Ranjit Desai","Maharashtra","Indian","India","Maharashtra"
"Ranjit Desai","India","Indian","India","Maharashtra"
"Ranjit Desai","India","Indian","India","India"
"Ranjit Desai","India","Indian","India","Mumbai"
"Ranjit Desai","Kolhapur","Indian","India","India"
"Ranjit Desai","Kolhapur","Indian","India","Mumbai"
"Ranjit Desai","Kolhapur","Indian","India","Maharashtra"
"Ranjit Desai","Kowad","Indian","India","Mumbai"
"Ranjit Desai","Kowad","Indian","India","India"
"Ranjit Desai","Kowad","Indian","India","Maharashtra"
"Otto Mainzer","Frankfurt am Main","German-American","Germany","New York City"
"Otto Mainzer","Hesse","German-American","Germany","New York City"
"Thomas Beattie Roberton","Scotland","Canadian","Canada","Winnipeg"
"Thomas Beattie Roberton","Scotland","Canadian","Canada","Manitoba"
"Thomas Beattie Roberton","Glasgow","Canadian","Canada","Winnipeg"
"Thomas Beattie Roberton","Glasgow","Canadian","Canada","Manitoba"
"Sachin Sengupta","Bangladesh","Indian","India","West Bengal"
"Sachin Sengupta","Bangladesh","Indian","India","Calcutta"
"Sachin Sengupta","Bangladesh","Indian","India","India"
"Nagendra Narayan Choudhury","Goalpara","Indian","India","Assam"
"Nagendra Narayan Choudhury","Goalpara","Indian","India","Goalpara"
"Nagendra Narayan Choudhury","Goalpara","Indian","India","Lakhipur, Goalpara"
"Nagendra Narayan Choudhury","Assam","Indian","India","Lakhipur, Goalpara"
"Nagendra Narayan Choudhury","Assam","Indian","India","Goalpara"
"Nagendra Narayan Choudhury","Assam","Indian","India","Assam"
"Nagendra Narayan Choudhury","Lakhipur, Goalpara","Indian","India","Goalpara"
"Nagendra Narayan Choudhury","Lakhipur, Goalpara","Indian","India","Lakhipur, Goalpara"
"Nagendra Narayan Choudhury","Lakhipur, Goalpara","Indian","India","Assam"
"William Watson (writer)","Edinburgh","Scottish","Scotland","Edinburgh"
"William Watson (writer)","Edinburgh","Scottish","United Kingdom","Edinburgh"
"Vernon Knowles","Adelaide","Australian","Australia","London"
"Vernon Knowles","South Australia","Australian","Australia","London"
"Santosh Kumar Gulwadi","Udupi","Indian","India","Bengaluru"
"Santosh Kumar Gulwadi","Udupi","Indian","India","Karnataka"
"Santosh Kumar Gulwadi","Karnataka","Indian","India","Bengaluru"
"Santosh Kumar Gulwadi","Karnataka","Indian","India","Karnataka"
"Santosh Kumar Gulwadi","India","Indian","India","Karnataka"
"Santosh Kumar Gulwadi","India","Indian","India","Bengaluru"
"Sydney Jephcott","Corryong","Australian","Australia","Albury"
"Sydney Jephcott","Corryong","Australian","Australia","New South Wales"
"Sydney Jephcott","Victoria, Australia","Australian","Australia","Albury"
"Sydney Jephcott","Victoria, Australia","Australian","Australia","New South Wales"
"Romano Alquati","Klana","Italian","Italy","Turin"
