"writer","childLabel","parentLabel","spouseLabel"
"http://dbpedia.org/resource/Mary_Turzillo",,"Warren G. Harding","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Bob Marley","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Bruce Dern","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Grace Kelly","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Grace Kelly","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Grace Kelly","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Jenni Rivera","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Kiefer Sutherland","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Leon Hess","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Muammar Gaddafi","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Muammar Gaddafi","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Marv Albert","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Robert Irsay","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"William McMahon","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Kevin Smith","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Billy Brooks","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Carl XVI Gustaf of Sweden","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Charles Shipman Payson","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Jimmy Carter","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Jimmy Carter","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Karen Black","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Tommy Manotoc","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Walter Mondale","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"William Wrigley III","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Dale Earnhardt","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Fahd of Saudi Arabia","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Fahd of Saudi Arabia","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Fahd of Saudi Arabia","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Georgia Frontiere","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Khalid of Saudi Arabia","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Mike Pazik","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Nayef bin Abdul-Aziz Al Saud","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Roger Penske","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Charles, Prince of Wales","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Charles, Prince of Wales","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Dennis Waterman","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Devan Nair","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"United States Senate","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Diana Ross","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Diana Ross","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Virginia Halas McCaskey","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Boris Yeltsin","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Brian Mulroney","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"George Darwin","Geoffrey A. Landis"
