"a","birthPlaceLabel","nationalityLabel","deathPlaceLabel"
"http://dbpedia.org/resource/Peter_Ackroyd","London","British",
"http://dbpedia.org/resource/Simon_Reynolds","London","British",
"http://dbpedia.org/resource/Mary_Ann_Kilner","London","British",
"http://dbpedia.org/resource/Dennis_Wheatley","London","English",
"http://dbpedia.org/resource/Peter_Morgan","London","British",
"http://dbpedia.org/resource/Howard_Barker","London","British",
"http://dbpedia.org/resource/Paul_Morantz","Los Angeles","United States",
"http://dbpedia.org/resource/Paul_Morantz","Los Angeles, California","United States",
"http://dbpedia.org/resource/Elizabeth_Bevarly","Louisville, Kentucky","American",
"http://dbpedia.org/resource/Martha_Rofheart","Louisville, Kentucky","United States",
"http://dbpedia.org/resource/Sue_Grafton","Louisville, Kentucky","American",
"http://dbpedia.org/resource/David_Galloway_(writer)","Memphis, Tennessee","American, German",
"http://dbpedia.org/resource/Frederic_Farrar","Mumbai","English",
"http://dbpedia.org/resource/Marilyn_Sachs","New York, New York","American",
"http://dbpedia.org/resource/Elise_Cowen","New York (state)","American",
"http://dbpedia.org/resource/Robert_Christgau","New York (state)","American",
"http://dbpedia.org/resource/Mercedes_de_Acosta","New York City","American",
"http://dbpedia.org/resource/Chris_Valentino","New York City","American",
"http://dbpedia.org/resource/Ronald_Ribman","New York City","American",
"http://dbpedia.org/resource/Harold_H._Bloomfield","New York City","USA",
"http://dbpedia.org/resource/David_Grann","New York City","American",
"http://dbpedia.org/resource/David_Halberstam","New York City","American",
"http://dbpedia.org/resource/Paula_Fox","New York City","American",
"http://dbpedia.org/resource/Suzy_McKee_Charnas","New York City","American",
"http://dbpedia.org/resource/Irving_Howe","New York City","American",
"http://dbpedia.org/resource/Karla_Kuskin","New York City","American",
"http://dbpedia.org/resource/Thomas_Piccirilli","New York City","American",
"http://dbpedia.org/resource/Robert_Christgau","New York City","American",
"http://dbpedia.org/resource/Michael_Brodsky","New York City","American",
"http://dbpedia.org/resource/David_Anthony_Durham","New York City","American",
"http://dbpedia.org/resource/Steven-Elliot_Altman","New York City","American",
"http://dbpedia.org/resource/David_Hair","New Zealand","New Zealander",
"http://dbpedia.org/resource/Richard_Curtis","New Zealand","British, New Zealander",
"http://dbpedia.org/resource/Dorothea_Grossman","Pennsylvania","American",
"http://dbpedia.org/resource/Dorothy_Fadiman","Pennsylvania","United States",
"http://dbpedia.org/resource/Jim_C._Hines","Pennsylvania","United States",
"http://dbpedia.org/resource/Louisa_Hall","Pennsylvania","American",
"http://dbpedia.org/resource/William_Marchant_(playwright)","Pennsylvania","American",
"http://dbpedia.org/resource/Amelia_Reynolds_Long","Pennsylvania","United States",
"http://dbpedia.org/resource/David_Harris_Ebenbach","Philadelphia","American",
"http://dbpedia.org/resource/Dorothea_Grossman","Philadelphia","American",
"http://dbpedia.org/resource/Louisa_Hall","Philadelphia","American",
"http://dbpedia.org/resource/Narinder_Singh_Kapoor","Rawalpindi","Indian",
"http://dbpedia.org/resource/Mikhail_P._Kulakov","Saint Petersburg","Russian",
"http://dbpedia.org/resource/Percy_Qoboza","South Africa","South African",
"http://dbpedia.org/resource/Pere_Calders","Spain","Spanish",
"http://dbpedia.org/resource/David_Galloway_(writer)","Tennessee","American, German",
"http://dbpedia.org/resource/Kristin_Gore","Tennessee","American",
"http://dbpedia.org/resource/Mr._Yoga","Toronto","Canadian",
"http://dbpedia.org/resource/Elisha_Lim","Toronto","Canadian, Singaporean",
"http://dbpedia.org/resource/Maggie_Gee_(novelist)","United Kingdom","English",
"http://dbpedia.org/resource/Peter_Morgan","United Kingdom","British",
"http://dbpedia.org/resource/Adrian_Caesar","United Kingdom","Australian",
"http://dbpedia.org/resource/Stanley_Kunitz","United States","United States",
"http://dbpedia.org/resource/Karlous_Miller","United States","American",
"http://dbpedia.org/resource/Scott_Nicolay","United States","American",
"http://dbpedia.org/resource/Kristin_Gore","United States","American",
"http://dbpedia.org/resource/Taalam_Acey","United States","African American",
"http://dbpedia.org/resource/Peter_Ackroyd","West (London sub region)","British",
"http://dbpedia.org/resource/Rita_Clay_Estrada","Michigan","American",
"http://dbpedia.org/resource/Alice_Randall","Michigan","American",
"http://dbpedia.org/resource/Karen_Ackerman","Ohio","American",
"http://dbpedia.org/resource/Martha_Moody","Ohio","American",
"http://dbpedia.org/resource/Helen_Hooven_Santmyer","Ohio","American",
"http://dbpedia.org/resource/Sheree-Lee_Olson","Ontario","Canada",
"http://dbpedia.org/resource/Sheree_Fitch","Ontario","Canadian",
"http://dbpedia.org/resource/David_McCullough","Pittsburgh","American",
"http://dbpedia.org/resource/L._du_Garde_Peach","Sheffield","British",
"http://dbpedia.org/resource/Shūsaku_Endō","Tokyo","Japanese",
"http://dbpedia.org/resource/Simon_Frug","Ukraine","Russian",
"http://dbpedia.org/resource/Dorothy_Johnston","Victoria (Australia)","Australian",
"http://dbpedia.org/resource/Leslye_Headland","Westport, Connecticut","American",
"http://dbpedia.org/resource/Alice_Randall","Detroit, Michigan","American",
"http://dbpedia.org/resource/James_Leasor","Kent","British",
"http://dbpedia.org/resource/Sharon_Tregenza","Cornwall","British",
"http://dbpedia.org/resource/David_W._Garland","Dundee","British-American",
"http://dbpedia.org/resource/Elizabeth_Ann_Scarborough","Kansas City, Missouri","American",
"http://dbpedia.org/resource/Dorothy_Hinshaw_Patent","Rochester, Minnesota","American",
"http://dbpedia.org/resource/Michael_Swanwick","Schenectady, New York","American",
"http://dbpedia.org/resource/Ace_Atkins","Springfield, Massachusetts","United States",
"http://dbpedia.org/resource/Robert_Icke","Stockton-on-Tees","English",
"http://dbpedia.org/resource/David_Zindell","Toledo, Ohio","American",
"http://dbpedia.org/resource/Taalam_Acey","Newark, New Jersey","African American",
"http://dbpedia.org/resource/Mia_Berner","Stavanger","Norwegian / Swedish",
"http://dbpedia.org/resource/Diane_Ackerman","Waukegan, Illinois","United States",
"http://dbpedia.org/resource/Ewn_Garabandal","Lombardy","Italy",
"http://dbpedia.org/resource/James_Patrick_Kelly","Mineola, New York","American",
"http://dbpedia.org/resource/Elise_Primavera","West Long Branch, New Jersey","American",
"http://dbpedia.org/resource/William_Gibson","Conway, South Carolina","American, Canadian",
"http://dbpedia.org/resource/Eliza_Gutch","Lincolnshire","English",
"http://dbpedia.org/resource/Elise_Blackwell","Austin, Texas","American",
"http://dbpedia.org/resource/Marija_Knežević","Belgrade","Serbian",
"http://dbpedia.org/resource/Kevin_Canty_(author)","California","United States",
"http://dbpedia.org/resource/Marvin_X","California","American",
"http://dbpedia.org/resource/Alice_Randall","Detroit","American",
"http://dbpedia.org/resource/Mary_Tighe","Dublin","Irish",
"http://dbpedia.org/resource/Märta_Tikkanen","Finland","Finnish",
"http://dbpedia.org/resource/Mavis_Gallant","Montreal","Canadian",
"http://dbpedia.org/resource/José_Craveirinha","Mozambique","Mozambican",
"http://dbpedia.org/resource/Dorothy_Gilman","New Brunswick, New Jersey","American",
"http://dbpedia.org/resource/Mavis_Gallant","Quebec","Canadian",
"http://dbpedia.org/resource/Tomas_Tranströmer","Stockholm","Swedish",
"http://dbpedia.org/resource/Mikhail_Plyatskovsky","USSR","Russian",
"http://dbpedia.org/resource/Josh_Weinstein","Washington, D.C.","American",
"http://dbpedia.org/resource/Stanley_Kunitz","Worcester, Massachusetts","United States",
"http://dbpedia.org/resource/Dorothy_Black_(novelist)","Bradford","British",
"http://dbpedia.org/resource/Sanders_Anne_Laubenthal","Mobile, Alabama","United States",
"http://dbpedia.org/resource/Eduardo_Acevedo_Díaz","Montevideo","Uruguayan",
"http://dbpedia.org/resource/Kevin_Connolly_(writer)","Biloxi, Mississippi","Canadian",
"http://dbpedia.org/resource/Karolina_Pavlova","Yaroslavl","Russian",
"http://dbpedia.org/resource/Marianne_Ackerman","Belleville, Ontario","Canadian",
"http://dbpedia.org/resource/Arthur_C._Clarke","Somerset","British",
"http://dbpedia.org/resource/Kristin_Gore","Carthage, Tennessee","American",
"http://dbpedia.org/resource/Philip_F._Gura","Ware, Massachusetts","United States",
"http://dbpedia.org/resource/Marta_Mirazón_Lahr","Argentina","British & Argentinian",
"http://dbpedia.org/resource/Frederic_M._Halford","Birmingham","British",
"http://dbpedia.org/resource/Shivmangal_Singh_Suman","British India","Indian",
"http://dbpedia.org/resource/Narinder_Singh_Kapoor","British Raj","Indian",
"http://dbpedia.org/resource/Marta_Mirazón_Lahr","Buenos Aires","British & Argentinian",
"http://dbpedia.org/resource/Marta_Traba","Buenos Aires","Argentinian and Colombian",
"http://dbpedia.org/resource/Chris_Valentino","Connecticut","American",
"http://dbpedia.org/resource/Robert_Louis_Stevenson","Edinburgh","Scottish",
"http://dbpedia.org/resource/Dorothy_Mackie_Low","Edinburgh","British",
"http://dbpedia.org/resource/Scott_Hastie","Edinburgh","British",
"http://dbpedia.org/resource/Kevin_Brooks_(writer)","Exeter","British",
"http://dbpedia.org/resource/Ursula_Nordstrom","Manhattan","American",
"http://dbpedia.org/resource/Dorothy_Livesay","Manitoba","Canadian",
"http://dbpedia.org/resource/Josh_Weinstein","Maryland","American",
"http://dbpedia.org/resource/Lance_Olsen","New Jersey","American",
"http://dbpedia.org/resource/Sheree_Fitch","Ottawa","Canadian",
"http://dbpedia.org/resource/John_Brosnan","Perth","Australian",
"http://dbpedia.org/resource/Mitchell_Burgess","Rhode Island","American",
"http://dbpedia.org/resource/Robin_Green","Rhode Island","American",
"http://dbpedia.org/resource/Christian_Tămaș","Romania","Romanian",
"http://dbpedia.org/resource/David_W._Garland","Scotland","British-American",
"http://dbpedia.org/resource/Dorothy_Mackie_Low","Scotland","British",
"http://dbpedia.org/resource/Diriye_Osman","Somalia","British",
"http://dbpedia.org/resource/James_Lloydovich_Patterson","Soviet Union","Russian",
"http://dbpedia.org/resource/Dorothy_Porter","Sydney","Australian",
"http://dbpedia.org/resource/Elizabeth_Kata","Sydney","Australian",
"http://dbpedia.org/resource/Katrina_Sedgwick","Sydney","Australian",
"http://dbpedia.org/resource/Steve_Kubby","Texas","American",
"http://dbpedia.org/resource/Shana_Abé","Texas","American",
"http://dbpedia.org/resource/Simon_Reynolds","UK","British",
"http://dbpedia.org/resource/Simon_Evans_(writer)","Wales","British",
"http://dbpedia.org/resource/Elise_Cowen","Washington Heights, Manhattan","American",
"http://dbpedia.org/resource/Dorothy_Livesay","Winnipeg","Canadian",
"http://dbpedia.org/resource/David_Wroblewski","Wisconsin","American",
"http://dbpedia.org/resource/Pere_Calders","Barcelona","Spanish",
"http://dbpedia.org/resource/Lars_Holst","Bergen","Norwegian",
"http://dbpedia.org/resource/Frederic_Farrar","Bombay","English",
"http://dbpedia.org/resource/Pere_Calders","Catalonia","Spanish",
"http://dbpedia.org/resource/David_W._Orr","Iowa","American",
"http://dbpedia.org/resource/David_Wright_(poet)","Johannesburg","South African by birth; British",
"http://dbpedia.org/resource/Ben_Lerner","Kansas","United States",
"http://dbpedia.org/resource/Woeser","Lhasa","Chinese",
"http://dbpedia.org/resource/Ursula_Nordstrom","Manhattan, New York","American",
"http://dbpedia.org/resource/Robert_Reed_(author)","Omaha, Nebraska","American",
"http://dbpedia.org/resource/Karolina_Pavlova","Russian Empire","Russian",
"http://dbpedia.org/resource/Sophie_el_Goulli","Tunisia","Tunisian",
"http://dbpedia.org/resource/Eduardo_Acevedo_Díaz","Uruguay","Uruguayan",
"http://dbpedia.org/resource/Shivmangal_Singh_Suman","Uttar Pradesh","Indian",
"http://dbpedia.org/resource/Robert_Christgau","Greenwich Village","American",
"http://dbpedia.org/resource/Bengt_Calmeyer_(journalist)","Oslo","Norwegian",
"http://dbpedia.org/resource/Irving_Howe","The Bronx","American",
"http://dbpedia.org/resource/Richard_Curtis","Wellington","British, New Zealander",
"http://dbpedia.org/resource/Steve_Kubby","El Paso, Texas","American",
"http://dbpedia.org/resource/Jim_Butcher","Independence, Missouri","American",
"http://dbpedia.org/resource/Mary_Ann_Radcliffe","Nottingham","British",
"http://dbpedia.org/resource/Maggie_Gee_(novelist)","Poole","English",
"http://dbpedia.org/resource/Qu_Bo_(novelist)","Shandong","Chinese",
