"writer","birthPlaceLabel","nationality","country","deathPlaceLabel"
"http://dbpedia.org/resource/Chuck_McKenzie","Melbourne","Australian",,
"http://dbpedia.org/resource/James_Lloydovich_Patterson","Moscow","Russian",,
"http://dbpedia.org/resource/John_Robert_Colombo","Kitchener, Ontario","Canadian",,
"http://dbpedia.org/resource/David_Galloway_(writer)","Memphis","American, German",,
"http://dbpedia.org/resource/John_David_Morley","Singapore","British",,
"http://dbpedia.org/resource/Ian_McDonald_(British_author)","Manchester","Scottish and Irish",,
"http://dbpedia.org/resource/Diriye_Osman","Mogadishu","British",,
"http://dbpedia.org/resource/Yutaka_Hara","Kumamoto Prefecture","Japanese",,
"http://dbpedia.org/resource/Karly_Gaitán_Morales","Managua","Nicaraguan",,
"http://dbpedia.org/resource/Kevin_Connolly_(writer)","Mississippi","Canadian",,
"http://dbpedia.org/resource/Lavie_Tidhar","Afula","Israeli/South African/British",,
"http://dbpedia.org/resource/Marina_Boroditskaya","Moscow","Russian",,
"http://dbpedia.org/resource/Marta_Rivera_de_la_Cruz","Lugo","Spain",,
"http://dbpedia.org/resource/Märta_Tikkanen","Helsinki","Finnish",,
"http://dbpedia.org/resource/Veturi_Prabhakara_Sastri","Andhra Pradesh","Indian",,
"http://dbpedia.org/resource/Scott_Hutchins","Arkansas","American",,
"http://dbpedia.org/resource/Woeser","Lhasa (prefecture-level city)","Chinese",,
"http://dbpedia.org/resource/Chrystine_Brouillet","Quebec City",,"http://dbpedia.org/resource/Canada",
"http://dbpedia.org/resource/Jean_Desprez","Gatineau",,"http://dbpedia.org/resource/Canada",
"http://dbpedia.org/resource/Fleur_Jaeggy","Zürich",,"http://dbpedia.org/resource/Italy",
"http://dbpedia.org/resource/Karla_Schmidt","Göttingen",,"http://dbpedia.org/resource/Germany",
"http://dbpedia.org/resource/Kazunori_Itō","Yamagata Prefecture",,"http://dbpedia.org/resource/Japan",
"http://dbpedia.org/resource/David_Ignatius","Cambridge, Massachusetts",,,
"http://dbpedia.org/resource/Sherwin_Bitsui","Arizona",,,
"http://dbpedia.org/resource/David_Whitley","Chester",,,
"http://dbpedia.org/resource/David_Hoenigman","Cleveland, Ohio",,,
"http://dbpedia.org/resource/Anthony_Ackroyd","Hobart",,,
"http://dbpedia.org/resource/Hıfzı_Topuz","Istanbul",,,
"http://dbpedia.org/resource/Karoline_Leach","Liverpool",,,
"http://dbpedia.org/resource/Pavan_Choudary","Madhya Pradesh",,,
"http://dbpedia.org/resource/Elise_Hu","Missouri",,,
"http://dbpedia.org/resource/Mikhail_Shishkin_(writer)","Moscow",,,
"http://dbpedia.org/resource/Lello_Voce","Naples",,,
"http://dbpedia.org/resource/Luciano_De_Crescenzo","Naples",,,
"http://dbpedia.org/resource/Stephen_King","Portland, Maine",,,
"http://dbpedia.org/resource/B._Jeyamohan","Tamil Nadu",,,
"http://dbpedia.org/resource/Lelord_Kordel","Warsaw",,,
"http://dbpedia.org/resource/Lemn_Sissay","Wigan",,,
"http://dbpedia.org/resource/David_Woodard","Santa Barbara, California",,,
"http://dbpedia.org/resource/Endre_Lund_Eriksen","Bodø",,,
"http://dbpedia.org/resource/Shuichi_Yoshida","Nagasaki Prefecture",,,
"http://dbpedia.org/resource/LaNiyah_Bailey","Downers Grove, Illinois",,,
"http://dbpedia.org/resource/Robert_Knuckle","Windsor, Ontario",,,
"http://dbpedia.org/resource/Yu_Hua_(author)","Hangzhou",,,
"http://dbpedia.org/resource/David_Silverman_(animator)","New York State",,,
"http://dbpedia.org/resource/Rita_Steblin","Chilliwack",,,
"http://dbpedia.org/resource/Simeon_Simev","Štip",,,
"http://dbpedia.org/resource/Lautaro_Núñez_Atencio","Iquique",,,
"http://dbpedia.org/resource/Shuichi_Yoshida","Nagasaki, Nagasaki",,,
"http://dbpedia.org/resource/Karolina_Ramqvist","Gothenburg, Sweden",,,
"http://dbpedia.org/resource/Chu_Chunqiu","Huoqiu County",,,
"http://dbpedia.org/resource/Ciril_Zlobec","Ponikve, Sežana",,,
"http://dbpedia.org/resource/Scott_G._Gier","Aiea, Hawaii",,,
"http://dbpedia.org/resource/Frederic_Farrar","Mumbai","English",,"Canterbury"
"http://dbpedia.org/resource/Subramanian_Krishnamoorthy","India","Indian",,"Tamil Nadu"
"http://dbpedia.org/resource/Subramanian_Krishnamoorthy","India","Indian",,"Chennai"
"http://dbpedia.org/resource/Martha_Rofheart","Louisville, Kentucky","United States",,"New York City"
"http://dbpedia.org/resource/Mary_Ann_Kilner","London","British",,"Maryland, London"
"http://dbpedia.org/resource/Michael_Glenny","London","UK",,"Moscow"
"http://dbpedia.org/resource/Norm_Rice_(cartoonist)","Australia","Australian",,"Australia"
"http://dbpedia.org/resource/Norm_Rice_(cartoonist)","Australia","Australian",,"Balgowlah, New South Wales"
"http://dbpedia.org/resource/Norma_Davis","Australia","Australian",,"Australia"
"http://dbpedia.org/resource/Norma_Davis","Australia","Australian",,"Perth, Tasmania"
"http://dbpedia.org/resource/Dennis_Wheatley","London","English",,"Greater London"
"http://dbpedia.org/resource/James_Herbert","London","British",,"Woodmancote, West Sussex"
"http://dbpedia.org/resource/A._E._Housman","England","British",,"Cambridge"
"http://dbpedia.org/resource/Rudyard_Kipling","Mumbai","British",,"London"
"http://dbpedia.org/resource/Wilfred_Greatorex","England","British",,"Buckinghamshire"
"http://dbpedia.org/resource/Wilfred_Greatorex","England","British",,"England"
"http://dbpedia.org/resource/Wilfred_Greatorex","England","British",,"UK"
"http://dbpedia.org/resource/Wilfred_Greatorex","England","British",,"Taplow"
"http://dbpedia.org/resource/Shivaji_Sawant","Maharashtra",,"http://dbpedia.org/resource/India","Goa"
"http://dbpedia.org/resource/Jean_de_La_Fontaine","France",,,"Île-de-France"
"http://dbpedia.org/resource/Siegfried_van_Praag","Amsterdam",,,"Belgium"
"http://dbpedia.org/resource/Siegfried_van_Praag","Netherlands",,,"Belgium"
"http://dbpedia.org/resource/Dorothy_West","Boston",,,"Boston"
"http://dbpedia.org/resource/Jan_Beneš_(writer)","Czech Republic",,,"Czech Republic"
"http://dbpedia.org/resource/Suhayr_al-Qalamawi","Egypt",,,"Egypt"
"http://dbpedia.org/resource/Jean_de_La_Fontaine","France",,,"France"
"http://dbpedia.org/resource/Mircea_Eliade","Bucharest",,,"Illinois"
"http://dbpedia.org/resource/Raza_Naqvi_Wahi","India",,,"India"
"http://dbpedia.org/resource/Federico_De_Roberto","Italy",,,"Italy"
"http://dbpedia.org/resource/J._R._Ackerley","London",,,"London"
"http://dbpedia.org/resource/Peter_Elstob","London",,,"London"
"http://dbpedia.org/resource/Owen_Chase","Massachusetts",,,"Massachusetts"
"http://dbpedia.org/resource/Ulfat_Idilbi","Damascus",,,"Paris"
"http://dbpedia.org/resource/Jean_de_La_Fontaine","France",,,"Paris"
"http://dbpedia.org/resource/Mircea_Eliade","Bucharest",,,"United States"
"http://dbpedia.org/resource/Siegfried_van_Praag","Amsterdam",,,"Brussels"
"http://dbpedia.org/resource/Siegfried_van_Praag","Netherlands",,,"Brussels"
"http://dbpedia.org/resource/Mircea_Eliade","Bucharest",,,"Chicago"
"http://dbpedia.org/resource/David_H._Greene","Massachusetts",,,"Florida"
"http://dbpedia.org/resource/David_H._Greene","Massachusetts",,,"Boynton Beach, Florida"
"http://dbpedia.org/resource/Suhayr_al-Qalamawi","Egypt",,,"Cairo"
"http://dbpedia.org/resource/Federico_De_Roberto","Italy",,,"Catania"
"http://dbpedia.org/resource/Raza_Naqvi_Wahi","India",,,"Patna"
"http://dbpedia.org/resource/Federico_Kurtz","Berlin",,,"Córdoba, Argentina"
"http://dbpedia.org/resource/Jean_de_La_Fontaine","France",,,"Neuilly-sur-Seine"
"http://dbpedia.org/resource/Owen_Chase","Massachusetts",,,"Nantucket"
"http://dbpedia.org/resource/Jan_Beneš_(writer)","Czech Republic",,,"Obořistě"
"http://dbpedia.org/resource/Jan_Beneš_(writer)","Czech Republic",,,"Obořiště"
"http://dbpedia.org/resource/Mr._Yoga","Canada","Canadian","http://dbpedia.org/resource/Canada",
"http://dbpedia.org/resource/Ken_Shadie","Australia","Australian","http://dbpedia.org/resource/Australia",
"http://dbpedia.org/resource/Peter_Ackroyd","London","British",,
"http://dbpedia.org/resource/David_Galloway_(writer)","Memphis, Tennessee","American, German",,
"http://dbpedia.org/resource/Paul_Morantz","Los Angeles","United States",,
"http://dbpedia.org/resource/Paul_Morantz","Los Angeles, California","United States",,
"http://dbpedia.org/resource/Henry_Treece","England","British",,
"http://dbpedia.org/resource/Maggie_Gee_(novelist)","England","English",,
"http://dbpedia.org/resource/Elizabeth_Bevarly","Louisville, Kentucky","American",,
"http://dbpedia.org/resource/Simon_Reynolds","England","British",,
"http://dbpedia.org/resource/Simon_Reynolds","London","British",,
"http://dbpedia.org/resource/Lavie_Tidhar","Israel","Israeli/South African/British",,
"http://dbpedia.org/resource/Marilyn_Sachs","New York, New York","American",,
"http://dbpedia.org/resource/Ritu_Lalit","India","Indian 20px",,
"http://dbpedia.org/resource/Rita_Wong","Alberta","Canadian",,
"http://dbpedia.org/resource/Rita_Wong","Calgary","Canadian",,
"http://dbpedia.org/resource/Veturi_Prabhakara_Sastri","India","Indian",,
